  250.00      70.80036 8.910330135e+12
  250.01      82.46556 1.037880001e+13
  250.02      79.27179 9.977285575e+12
  250.03      83.73019 1.053885989e+13
  250.04      85.82529 1.080302030e+13
  250.05      88.39307 1.112668006e+13
  250.06      89.69010 1.129037955e+13
  250.07      88.81415 1.118047411e+13
  250.08      83.22469 1.047720991e+13
  250.09      79.19106 9.969812374e+12
  250.10      71.17175 8.960579994e+12
  250.11      64.84438 8.164322312e+12
  250.12      61.47974 7.740992258e+12
  250.13      59.59250 7.503665955e+12
  250.14      53.69783 6.761704063e+12
  250.15      49.44934 6.226948129e+12
  250.16      43.05936 5.422480097e+12
  250.17      35.93289 4.525190021e+12
  250.18      29.86843 3.761637949e+12
  250.19      27.68709 3.487100043e+12
  250.20      29.09157 3.664189850e+12
  250.21      32.39972 4.081045996e+12
  250.22      35.95765 4.529336091e+12
  250.23      37.78465 4.759623827e+12
  250.24      43.46198 5.475032105e+12
  250.25      49.61855 6.250896032e+12
  250.26      56.26794 7.088890184e+12
  250.27      64.00397 8.063787991e+12
  250.28      71.47402 9.005206340e+12
  250.29      71.02441 8.948857962e+12
  250.30      65.52148 8.255790121e+12
  250.31      59.54923 7.503570010e+12
  250.32      56.65337 7.139000058e+12
  250.33      57.62920 7.262344053e+12
  250.34      62.01046 7.814821970e+12
  250.35      68.93642 8.687983788e+12
  250.36      74.75521 9.421637812e+12
  250.37      76.66550 9.662728503e+12
  250.38      73.94434 9.320104198e+12
  250.39      69.16018 8.717428326e+12
  250.40      63.70333 8.029929996e+12
  250.41      58.57000 7.383164125e+12
  250.42      55.28885 6.969847972e+12
  250.43      59.34676 7.481784271e+12
  250.44      65.83617 8.300280152e+12
  250.45      68.49998 8.636423733e+12
  250.46      74.14379 9.348325573e+12
  250.47      80.43491 1.014187950e+13
  250.48      80.26943 1.012141969e+13
  250.49      78.65818 9.918659690e+12
  250.50      80.82241 1.019193328e+13
  250.51      80.98161 1.021239938e+13
  250.52      78.34124 9.879819387e+12
  250.53      77.89560 9.824040387e+12
  250.54      80.91579 1.020540014e+13
  250.55      81.47320 1.027610037e+13
  250.56      77.76573 9.808838132e+12
