  308.10  310.19  311.86  312.28  313.54  314.79  315.63  316.88  317.72  319.80  320.64  321.47  324.81  328.15  328.98  331.07  331.90  336.07  363.57  363.57  363.57  363.57

  308.24  310.34  312.01  312.43  313.69  314.94  315.78  317.03  317.87  319.96  320.79  321.63  324.97  327.89  328.72  330.81  331.64  335.82  363.75  363.75  363.75  363.75

  308.29  310.38  312.05  312.47  313.73  314.98  315.82  317.07  317.91  320.00  320.83  321.67  325.01  327.93  328.77  330.86  331.69  335.86  363.81  363.81  363.81  363.81

  308.29  310.39  312.06  312.48  313.73  314.99  315.83  317.08  317.92  320.01  320.84  321.68  325.02  327.94  328.78  330.86  331.70  335.87  363.82  363.82  363.82  363.82
 
  308.27  310.36  312.03  312.45  313.70  314.96  315.79  317.05  317.88  319.97  320.81  321.64  324.98  327.91  328.74  330.83  331.66  335.83  363.77  363.77  363.77  363.77

  308.21  310.31  311.98  312.40  313.65  314.90  315.74  316.99  317.83  319.92  320.75  321.59  324.93  327.85  328.68  330.76  331.60  335.77  363.70  363.70  363.70  363.70

  308.09  310.18  311.85  312.27  313.52  314.78  315.61  316.86  317.70  319.78  320.62  321.45  325.20  328.12  328.96  331.04  331.87  336.04  363.53  363.53  363.53  363.53

