  251.47      40.02998 5.067319017e+12
  251.48      38.61113 4.887886168e+12
  251.49      37.29698 4.721728291e+12
  251.50      35.92608 4.548383474e+12
  251.51      35.02996 4.435159286e+12
  251.52      35.24125 4.462131806e+12
  251.53      35.43181 4.486482887e+12
  251.54      36.44820 4.615432045e+12
  251.55      37.98961 4.810843619e+12
  251.56      39.27943 4.974377959e+12
  251.57      41.62153 5.271175299e+12
  251.58      44.18939 5.596552626e+12
  251.59      45.88370 5.811328254e+12
  251.60      46.39292 5.876013859e+12
  251.61      46.21062 5.853097230e+12
  251.62      45.22050 5.727865274e+12
  251.63      42.92419 5.437154394e+12
  251.64      40.55386 5.137057186e+12
  251.65      37.50722 4.751303377e+12
  251.66      34.74238 4.401232609e+12
  251.67      33.10298 4.193726497e+12
  251.68      31.09378 3.939374465e+12
  251.69      29.83541 3.780150821e+12
  251.70      29.14694 3.693139198e+12
  251.71      29.13798 3.692207276e+12
  251.72      30.01796 3.803905524e+12
  251.73      30.93871 3.920762765e+12
  251.74      32.52029 4.121331761e+12
  251.75      34.61147 4.386502738e+12
  251.76      37.04601 4.695219241e+12
  251.77      38.89809 4.930118091e+12
  251.78      40.63181 5.150049042e+12
  251.79      41.14886 5.215748096e+12
  251.80      41.72837 5.289395356e+12
  251.81      42.12491 5.339873804e+12
  251.82      42.13996 5.341984588e+12
  251.83      40.27234 5.105391763e+12
  251.84      39.14775 4.962994618e+12
  251.85      39.43499 4.999605125e+12
  251.86      39.23459 4.974404698e+12
  251.87      38.86792 4.928148865e+12
  251.88      40.04363 5.077472903e+12
  251.89      40.30040 5.110277079e+12
  251.90      41.36433 5.245396058e+12
  251.91      41.17268 5.221294539e+12
  251.92      40.36761 5.119400739e+12
  251.93      38.49218 4.881710055e+12
  251.94      37.80537 4.794699219e+12
  251.95      36.84375 4.672852066e+12
  251.96      35.93833 4.558189756e+12
  251.97      35.18492 4.462807089e+12
  251.98      33.56363 4.257332855e+12
  251.99      31.03891 3.937283604e+12
  252.00      30.08259 3.816195359e+12
  252.01      29.96941 3.802071040e+12
  252.02      31.27189 3.967543673e+12
  252.03      32.63243 4.140372853e+12
  252.04      35.44007 4.496773612e+12
  252.05      39.08865 4.959884542e+12
  252.06      43.01545 5.458338251e+12
  252.07      46.02554 5.840527426e+12
  252.08      48.40256 6.142388339e+12
  252.09      51.02018 6.474772775e+12
  252.10      53.14801 6.745009160e+12
  252.11      53.90577 6.841398985e+12
  252.12      53.76006 6.823130694e+12
  252.13      52.12006 6.615204364e+12
  252.14      51.69643 6.561676132e+12
  252.15      52.00539 6.601159213e+12
  252.16      51.01819 6.476097126e+12
  252.17      49.88228 6.332179022e+12
  252.18      49.65863 6.304099729e+12
  252.19      49.21946 6.248626389e+12
  252.20      48.62260 6.173113713e+12
  252.21      47.19828 5.992500167e+12
  252.22      45.91796 5.830150193e+12
  252.23      46.17584 5.863121617e+12
  252.24      47.27491 6.002886312e+12
  252.25      46.63462 5.921793638e+12
  252.26      46.01665 5.843574587e+12
  252.27      46.11804 5.856675496e+12
  252.28      44.89660 5.701767266e+12
  252.29      42.50188 5.397873689e+12
  252.30      40.39910 5.131015291e+12
  252.31      37.96845 4.822472851e+12
  252.32      36.27318 4.607278842e+12
  252.33      35.48449 4.507248361e+12
  252.34      34.41182 4.371196412e+12
  252.35      33.41835 4.245206335e+12
  252.36      33.50196 4.256024494e+12
  252.37      32.82797 4.170620862e+12
  252.38      32.63317 4.146095456e+12
  252.39      33.42486 4.246879076e+12
  252.40      33.43610 4.248481825e+12
  252.41      33.91989 4.310117384e+12
  252.42      35.30942 4.486831014e+12
  252.43      36.31125 4.614250299e+12
  252.44      35.68491 4.534767190e+12
  252.45      34.45620 4.378762674e+12
  252.46      33.49887 4.257256309e+12
  252.47      32.38050 4.115288293e+12
  252.48      32.32699 4.108688294e+12
  252.49      31.84904 4.048142729e+12
  252.50      31.28995 3.977282847e+12
  252.51      33.31357 4.234739974e+12
  252.52      34.99726 4.448991052e+12
  252.53      34.88203 4.434528043e+12
  252.54      36.20945 4.603459928e+12
  252.55      39.23876 4.988760752e+12
  252.56      41.46862 5.272429920e+12
  252.57      42.01409 5.341928489e+12
  252.58      43.10066 5.480250868e+12
  252.59      42.76200 5.437378265e+12
  252.60      43.91785 5.584578413e+12
  252.61      45.63341 5.802969006e+12
  252.62      45.40177 5.773791855e+12
  252.63      46.28630 5.886576165e+12
  252.64      47.54707 6.047134646e+12
  252.65      47.57191 6.050511061e+12
  252.66      45.93747 5.842847400e+12
  252.67      46.20078 5.876577468e+12
  252.68      48.37795 6.153730785e+12
  252.69      50.10949 6.374234259e+12
  252.70      51.53144 6.555336966e+12
  252.71      51.17787 6.510602617e+12
  252.72      50.71776 6.452340064e+12
  252.73      50.45575 6.419273744e+12
  252.74      47.66530 6.064491725e+12
  252.75      45.88737 5.838481654e+12
  252.76      44.20877 5.625071796e+12
  252.77      43.07870 5.481416360e+12
  252.78      40.79815 5.191402783e+12
  252.79      38.68547 4.922780156e+12
  252.80      36.39277 4.631244571e+12
  252.81      35.52984 4.521661039e+12
  252.82      34.97732 4.451562684e+12
  252.83      33.97433 4.324139991e+12
  252.84      32.60344 4.149876359e+12
  252.85      32.79470 4.174391017e+12
  252.86      33.26629 4.234585309e+12
  252.87      32.95052 4.194505327e+12
  252.88      32.56716 4.145801855e+12
  252.89      32.44667 4.130579939e+12
  252.90      32.37230 4.121274614e+12
  252.91      32.54889 4.143928312e+12
  252.92      31.99347 4.073408168e+12
  252.93      31.05971 3.954696520e+12
  252.94      29.46677 3.752027226e+12
  252.95      28.46421 3.624522744e+12
  252.96      28.48005 3.626716365e+12
  252.97      29.02755 3.696632791e+12
  252.98      30.22610 3.849407431e+12
  252.99      31.70553 4.037946376e+12
  253.00      32.35372 4.120631050e+12
  253.01      32.40884 4.127812747e+12
  253.02      32.91113 4.191979045e+12
  253.03      34.08363 4.341538226e+12
  253.04      35.08642 4.469453488e+12
  253.05      37.18504 4.736958333e+12
  253.06      40.21442 5.123081765e+12
  253.07      42.44905 5.407999787e+12
  253.08      42.92375 5.468698182e+12
  253.09      44.12056 5.621384479e+12
  253.10      45.58009 5.807551807e+12
  253.11      49.09497 6.255644508e+12
  253.12      53.19867 6.778813678e+12
  253.13      56.78578 7.236202004e+12
  253.14      58.59204 7.466667999e+12
  253.15      60.84558 7.754118857e+12
  253.16      61.59919 7.850410115e+12
  253.17      61.10931 7.788258918e+12
  253.18      60.15515 7.666926092e+12
  253.19      61.10825 7.788665242e+12
  253.20      64.26763 8.191684379e+12
  253.21      66.53621 8.481161085e+12
  253.22      65.87627 8.397365182e+12
  253.23      65.41890 8.339439747e+12
  253.24      63.15129 8.050707005e+12
  253.25      61.24095 7.807458869e+12
  253.26      59.37984 7.570469159e+12
  253.27      57.75201 7.363156247e+12
  253.28      58.12109 7.410492637e+12
  253.29      60.13504 7.667585647e+12
  253.30      61.63417 7.859069256e+12
  253.31      59.99286 7.650149925e+12
  253.32      57.56248 7.340536365e+12
  253.33      55.62059 7.093148975e+12
  253.34      53.64451 6.841449316e+12
  253.35      52.91057 6.748103508e+12
  253.36      53.65885 6.843800224e+12
  253.37      56.30584 7.181714850e+12
  253.38      59.38583 7.574837527e+12
  253.39      58.84740 7.506432098e+12
  253.40      54.96613 7.011586540e+12
  253.41      50.94445 6.498818195e+12
  253.42      49.26750 6.285166641e+12
  253.43      49.58158 6.325485437e+12
  253.44      51.48935 6.569132556e+12
  253.45      53.12827 6.778537378e+12
  253.46      53.68548 6.849883537e+12
  253.47      51.44946 6.564796695e+12
  253.48      48.18535 6.148580180e+12
  253.49      45.45545 5.800506425e+12
  253.50      45.49906 5.806331789e+12
  253.51      48.58899 6.200886297e+12
  253.52      52.11323 6.650899988e+12
  253.53      54.53397 6.960147071e+12
  253.54      55.67360 7.105889174e+12
  253.55      54.82017 6.997242544e+12
  253.56      53.30755 6.804475478e+12
  253.57      51.69764 6.599198900e+12
  253.58      51.09713 6.522683785e+12
  253.59      49.25287 6.287398011e+12
  253.60      48.56002 6.199129932e+12
  253.61      47.58864 6.075352875e+12
  253.62      45.47817 5.806162444e+12
  253.63      44.32680 5.659472429e+12
  253.64      43.84722 5.598591058e+12
  253.65      42.92715 5.481406398e+12
  253.66      42.77546 5.462290858e+12
  253.67      42.31000 5.403103461e+12
  253.68      42.93932 5.483664507e+12
  253.69      45.37523 5.794937438e+12
  253.70      46.18785 5.898833494e+12
  253.71      45.35862 5.793068351e+12
  253.72      46.29466 5.912853479e+12
  253.73      49.00618 6.259460801e+12
  253.74      47.42176 6.057316319e+12
  253.75      44.77360 5.719315710e+12
  253.76      43.86560 5.603571794e+12
  253.77      43.99260 5.620048069e+12
  253.78      46.93150 5.995821007e+12
  253.79      51.28294 6.552077468e+12
  253.80      52.74353 6.738984567e+12
  253.81      55.32631 7.069189014e+12
  253.82      58.04146 7.416301748e+12
  253.83      58.81460 7.515372782e+12
  253.84      58.01342 7.413321695e+12
  253.85      60.13632 7.684852548e+12
  253.86      61.57593 7.869054845e+12
  253.87      61.86382 7.906074821e+12
  253.88      61.63424 7.876984701e+12
  253.89      59.19409 7.565444383e+12
  253.90      55.01179 7.031237378e+12
  253.91      52.11738 6.661541986e+12
  253.92      49.93041 6.382219166e+12
  253.93      49.00983 6.264786518e+12
  253.94      48.78193 6.235948057e+12
  253.95      49.56027 6.335776162e+12
  253.96      48.91449 6.253510656e+12
  253.97      50.12275 6.408288862e+12
  253.98      51.67104 6.606520058e+12
  253.99      53.93642 6.896472818e+12
  254.00      55.08443 7.043557097e+12
  254.01      57.73251 7.382457385e+12
  254.02      60.81639 7.777066942e+12
  254.03      65.14087 8.330351739e+12
  254.04      69.26315 8.857853100e+12
  254.05      69.52383 8.891489321e+12
  254.06      68.91237 8.813618921e+12
  254.07      69.49168 8.888000709e+12
  254.08      68.70258 8.787390890e+12
  254.09      66.40580 8.493871923e+12
  254.10      63.27684 8.093920920e+12
  254.11      61.16453 7.823987048e+12
  254.12      56.75476 7.260123693e+12
  254.13      52.70274 6.741994504e+12
  254.14      49.22127 6.296903877e+12
  254.15      45.32405 5.798635241e+12
  254.16      44.66299 5.714343887e+12
  254.17      45.05877 5.765306253e+12
  254.18      47.53260 6.082219999e+12
  254.19      49.29902 6.308592878e+12
  254.20      53.18432 6.806067216e+12
  254.21      55.43683 7.094576087e+12
  254.22      54.97216 7.035311096e+12
  254.23      56.88694 7.280538943e+12
  254.24      58.46948 7.483247034e+12
  254.25      59.36586 7.598205567e+12
  254.26      59.78924 7.652637147e+12
  254.27      59.82339 7.657276572e+12
  254.28      60.45518 7.738500841e+12
  254.29      59.75175 7.648873808e+12
  254.30      57.48210 7.358657331e+12
  254.31      54.40171 6.964637073e+12
  254.32      53.90730 6.901648065e+12
  254.33      57.49620 7.361414562e+12
  254.34      61.03838 7.815266566e+12
  254.35      64.96603 8.318478189e+12
  254.36      68.17505 8.729719734e+12
  254.37      68.07664 8.717369082e+12
  254.38      68.93575 8.827674034e+12
  254.39      70.08768 8.975587213e+12
  254.40      68.93018 8.827728560e+12
  254.41      70.27621 9.000417493e+12
  254.42      70.07368 8.974710604e+12
  254.43      68.64998 8.792619090e+12
  254.44      68.41592 8.763019887e+12
