   WLVAC          C0           C1           C2          BETA          RHO
 2.50005e+03  2.95199e+02 -7.53660e-02 -6.54982e-04  2.71570e+00  3.56077e-02
 2.50055e+03  2.95306e+02 -5.48871e-02 -1.72093e-04  2.71324e+00  3.56022e-02
 2.50105e+03  2.95572e+02 -6.27807e-02 -6.15970e-04  2.71079e+00  3.55967e-02
 2.50155e+03  2.95430e+02 -6.33572e-02 -6.60789e-04  2.70838e+00  3.55912e-02
 2.50205e+03  2.95447e+02 -5.52169e-02 -6.10735e-04  2.70597e+00  3.55857e-02
 2.50255e+03  2.94970e+02 -5.80911e-02 -6.72816e-04  2.70355e+00  3.55802e-02
 2.50305e+03  2.94524e+02 -6.35966e-02 -8.99915e-04  2.70113e+00  3.55747e-02
 2.50355e+03  2.93718e+02 -6.30985e-02 -7.44773e-04  2.69872e+00  3.55692e-02
 2.50405e+03  2.93260e+02 -6.21271e-02 -8.23243e-04  2.69632e+00  3.55637e-02
 2.50455e+03  2.93003e+02 -7.22841e-02 -1.09893e-03  2.69391e+00  3.55582e-02
 2.50505e+03  2.92476e+02 -4.89924e-02 -7.19546e-04  2.69151e+00  3.55527e-02
 2.50555e+03  2.91755e+02 -6.18383e-02 -7.68721e-04  2.68910e+00  3.55472e-02
 2.50605e+03  2.91452e+02 -5.98608e-02 -7.40756e-04  2.68670e+00  3.55417e-02
 2.50656e+03  2.91509e+02 -4.94728e-02 -6.34615e-04  2.68431e+00  3.55362e-02
 2.50706e+03  2.91095e+02 -5.33449e-02 -4.49835e-04  2.68192e+00  3.55307e-02
 2.50756e+03  2.91451e+02 -6.00556e-02 -7.31040e-04  2.67952e+00  3.55252e-02
 2.50806e+03  2.91821e+02 -6.67381e-02 -9.97725e-04  2.67713e+00  3.55197e-02
 2.50856e+03  2.91855e+02 -6.31144e-02 -8.04641e-04  2.67475e+00  3.55142e-02
 2.50906e+03  2.92234e+02 -6.78523e-02 -1.06243e-03  2.67237e+00  3.55087e-02
 2.50956e+03  2.92322e+02 -6.76852e-02 -9.24863e-04  2.66998e+00  3.55032e-02
 2.51006e+03  2.92768e+02 -5.31815e-02 -7.40430e-04  2.66760e+00  3.54977e-02
 2.51056e+03  2.92760e+02 -6.21596e-02 -8.04456e-04  2.66523e+00  3.54922e-02
 2.51106e+03  2.92915e+02 -5.19952e-02 -5.12444e-04  2.66285e+00  3.54867e-02
 2.51156e+03  2.93515e+02 -4.10713e-02 -2.55355e-04  2.66048e+00  3.54812e-02
