 308.516 310.609 312.283 312.701 313.956 315.210 316.046 317.300 318.135 320.223 321.058
 321.893 325.232 328.151 328.985 331.070 331.903 336.070 363.980 367.317 371.907 376.919

 308.648 310.742 312.416 312.835 314.090 315.345 316.181 317.435 318.271 320.361 321.196
 322.031 325.371 328.292 329.127 331.212 332.046 336.216 364.143 367.481 372.075 377.090

 308.690 310.785 312.460 312.878 314.134 315.389 316.225 317.480 318.316 320.406 321.241
 322.077 325.418 328.339 329.174 331.260 332.094 336.265 364.201 367.540 372.135 377.153

 308.710 310.805 312.480 312.898 314.154 315.409 316.245 317.500 318.336 320.426 321.262
 322.097 325.439 328.361 329.195 331.282 332.116 336.287 364.227 367.567 372.163 377.182

 308.710 310.804 312.479 312.898 314.153 315.408 316.245 317.499 318.335 320.425 321.261
 322.096 325.437 328.359 329.194 331.280 332.114 336.285 364.226 367.566 372.163 377.182

