 308.516 310.609 312.283 312.701 313.956 315.210 316.046 317.300 318.135 320.223 321.058
 321.893 325.232 328.151 328.985 331.070 331.903 336.070 363.980 367.317 371.907 376.919

 308.648 310.742 312.416 312.835 314.090 315.345 316.181 317.435 318.271 320.361 321.196
 322.031 325.371 328.292 329.127 331.212 332.046 336.216 364.143 367.481 372.075 377.090

 308.697 310.792 312.467 312.885 314.141 315.396 316.232 317.487 318.323 320.413 321.249
 322.084 325.425 328.347 329.182 331.268 332.102 336.273 364.210 367.550 372.145 377.163

 308.712 310.806 312.481 312.900 314.155 315.410 316.247 317.501 318.337 320.427 321.263
 322.098 325.439 328.361 329.196 331.282 332.117 336.288 364.229 367.569 372.165 377.184

 308.683 310.777 312.451 312.869 314.124 315.379 316.215 317.469 318.305 320.394 321.230
 322.065 325.405 328.326 329.161 331.246 332.080 336.250 364.186 367.526 372.122 377.141

 308.618 310.711 312.384 312.802 314.056 315.310 316.146 317.399 318.234 320.322 321.157
 321.992 325.330 328.249 329.083 331.168 332.001 336.169 364.090 367.429 372.022 377.039

 308.469 310.559 312.231 312.649 313.902 315.154 315.989 317.241 318.076 320.161 320.995
 321.829 325.164 328.081 328.914 330.996 331.829 335.993 363.891 367.227 371.817 376.830

