 150 163 174 177 185 193 198 206 213 225 231 236 258 278 283 297 303 331 522 534 556 580
 148 161 172 175 183 191 196 204 211 223 229 234 256 276 281 295 301 329 521 534 556 580
 146 159 170 173 181 189 194 202 209 221 227 232 254 274 279 293 299 327 521 533 556 580
 145 158 168 171 179 187 192 201 207 220 225 230 253 272 278 292 297 326 521 533 555 580
 144 156 167 169 178 186 191 199 206 218 223 229 251 270 276 290 296 324 521 533 555 579
 143 155 165 168 176 184 190 198 204 217 222 228 250 269 275 289 294 323 519 533 555 579
 142 154 164 167 175 183 188 196 203 215 221 226 248 268 273 287 293 321 518 533 555 579
 142 152 163 166 174 182 187 195 202 214 220 225 247 267 272 286 292 320 516 532 555 579
 141 152 162 165 173 181 186 194 201 213 219 224 246 266 271 285 291 319 515 532 554 579
 141 151 161 164 172 180 185 193 200 212 218 223 245 265 270 284 290 318 514 532 554 579
 140 150 161 163 171 179 185 193 199 212 217 223 245 264 270 284 289 318 514 532 554 578
 140 149 160 163 171 179 184 192 199 211 217 222 244 263 269 283 289 317 513 532 554 578
 140 149 160 162 170 178 184 192 198 211 216 222 244 263 269 283 288 317 512 532 554 578
 139 149 159 162 170 178 183 192 198 210 216 221 243 263 268 282 288 316 512 532 554 578
 139 149 159 162 170 178 183 191 198 210 216 221 243 263 268 282 288 316 512 532 554 578
 139 149 159 162 170 178 183 191 198 210 216 221 243 263 268 282 288 316 512 532 554 578
 139 149 160 162 170 178 184 192 198 211 216 221 243 263 268 282 288 316 512 532 554 578
 140 149 160 163 170 179 184 192 199 211 216 222 244 263 269 283 288 317 513 532 554 578
 140 150 160 163 171 179 184 192 199 211 217 222 244 264 269 283 289 317 513 532 554 578
 140 150 161 164 172 180 185 193 200 212 217 223 245 264 270 284 289 318 514 532 554 578
 141 151 162 164 172 180 186 194 200 213 218 224 246 265 271 285 290 319 515 532 554 578
 141 152 163 165 173 181 187 195 201 214 219 225 247 266 272 286 291 319 516 532 554 578
 142 153 164 166 174 182 188 196 202 215 220 226 248 267 273 287 292 321 517 532 554 578
 142 154 165 167 175 183 189 197 204 216 221 227 249 268 274 288 293 322 518 532 554 578
 143 155 166 169 177 185 190 198 205 217 223 228 250 270 275 289 295 323 519 532 554 578
 144 157 168 170 178 186 192 200 206 219 224 230 252 271 277 291 296 325 521 532 554 579
 145 159 169 172 180 188 193 201 208 220 226 231 253 273 278 292 298 326 521 532 554 579
 147 160 171 174 182 190 195 203 210 222 228 233 255 275 280 294 300 328 521 532 555 579
 149 162 173 175 184 192 197 205 212 224 230 235 257 276 282 296 302 330 521 532 555 579
 151 164 175 178 186 194 199 207 214 226 232 237 259 279 284 298 304 332 521 533 555 579
